Player,FP,Cost,Value,Min,Pts,Rbd,Ast,Stl,BLK,To
P.J. Dozier PG/SG,0.6,"$3,000 ",0.19,0.6,0.3,0.1,0.1,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Chris Boucher PF/C,0.6,"$3,000 ",0.18,0.52,0.3,0.2,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Stanley Johnson SF/PF,0.5,"$3,000 ",0.16,0.41,0.2,0.1,0.1,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Bol Bol PF/C,0.4,"$3,000 ",0.13,0.64,0.3,0.1,0,0,0,0.1
LAC  @  DENWed 9:00pm,,,,,,,,,,
Patrick Patterson PF,0.2,"$3,000 ",0.08,0.29,0.1,0.1,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Rodney McGruder SG/SF,0.2,"$3,000 ",0.08,0.65,0.1,0.1,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Joakim Noah C,0.2,"$3,000 ",0.08,0.29,0.1,0.1,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Malcolm Miller SG/SF,0.1,"$3,000 ",0.03,0.18,0.1,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Troy Daniels SG,0.1,"$3,000 ",0.03,0.37,0.1,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Carsen Edwards SG,0.1,"$3,000 ",0.03,0.27,0.1,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Romeo Langford SG/SF,0.1,"$3,000 ",0.03,0.46,0.1,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Tremont Waters PG,0.1,"$3,000 ",0.03,0.33,0.1,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Terance Mann PG/SG,0.1,"$3,000 ",0.03,0.22,0.1,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Keita Bates-Diop SF/PF,0.1,"$3,000 ",0.03,0.31,0.1,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Tacko Fall C,0,"$3,000 ",0,0.05,0,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Vincent Poirier C,0,"$3,000 ",0,0.11,0,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Dewan Hernandez C,0,"$3,000 ",0,0.05,0,0,0,0,0,0
TOR  @  BOS OUTWed 6:30pm,,,,,,,,,,
Oshae Brissett PF,0,"$3,000 ",0,0,0,0,0,0,0,0
TOR  @  BOS OUTWed 6:30pm,,,,,,,,,,
Amir Coffey SF,0,"$3,000 ",0,0.05,0,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Tyler Cook C,0,"$3,000 ",0,0.05,0,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Johnathan Motley C,0,"$3,000 ",0,0.03,0,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Noah Vonleh C,0,"$3,000 ",0,0.08,0,0,0,0,0,0
LAC  @  DENWed 9:00pm,,,,,,,,,,
Paul Watson SF,0,"$3,000 ",0,0.09,0,0,0,0,0,0
TOR  @  BOSWed 6:30pm,,,,,,,,,,
