Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Reid Duke (15246708),Reid Duke,15246708,C/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
C,Peyton Krebs (15246710),Peyton Krebs,15246710,C/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
C,Reid Boucher (15246722),Reid Boucher,15246722,C/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
LW,Antoine Roussel (15246780),Antoine Roussel,15246780,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,4.42
LW,William Carrier (15246784),William Carrier,15246784,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,4.08
RW,Ryan Reaves (15246786),Ryan Reaves,15246786,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,3.21
RW,Loui Eriksson (15246792),Loui Eriksson,15246792,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,3.80
RW,Tomas Nosek (15246794),Tomas Nosek,15246794,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,4.46
LW,Justin Bailey (15246798),Justin Bailey,15246798,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0.75
LW,Keegan Kolesar (15246804),Keegan Kolesar,15246804,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,1.5
LW,Sven Baertschi (15246810),Sven Baertschi,15246810,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,3.42
RW,Zack MacEwen (15246812),Zack MacEwen,15246812,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,3.91
RW,Gage Quinney (15246814),Gage Quinney,15246814,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,2.67
RW,Micheal Ferland (15246816),Micheal Ferland,15246816,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,3.35
RW,Josh Leivo (15246818),Josh Leivo,15246818,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,6.61
LW,Brandon Pirri (15246820),Brandon Pirri,15246820,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,3.38
LW,Valentin Zykov (15246822),Valentin Zykov,15246822,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,3.93
LW,Nikolay Goldobin (15246834),Nikolay Goldobin,15246834,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
RW,Cody Glass (15246836),Cody Glass,15246836,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,4.23
LW,Tyrell Goulbourne (15246838),Tyrell Goulbourne,15246838,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
LW,Curtis McKenzie (15246840),Curtis McKenzie,15246840,W/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
D,Jon Merrill (15246902),Jon Merrill,15246902,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,4.36
D,Oscar Fantenberg (15246904),Oscar Fantenberg,15246904,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.14
D,Deryk Engelland (15246908),Deryk Engelland,15246908,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,5.67
D,Jordie Benn (15246912),Jordie Benn,15246912,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.32
D,Olli Juolevi (15246914),Olli Juolevi,15246914,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Nicolas Hague (15246916),Nicolas Hague,15246916,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,4.72
D,Jalen Chatfield (15246920),Jalen Chatfield,15246920,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Dylan Coghlan (15246928),Dylan Coghlan,15246928,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
D,Brogan Rafferty (15246930),Brogan Rafferty,15246930,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Jake Bischoff (15246932),Jake Bischoff,15246932,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,6.35
D,Nikita Tryamkin (15246938),Nikita Tryamkin,15246938,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Jaycob Megna (15246942),Jaycob Megna,15246942,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
D,Guillaume Brisebois (15246944),Guillaume Brisebois,15246944,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Josh Teves (15246946),Josh Teves,15246946,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0
D,Jimmy Schuldt (15246950),Jimmy Schuldt,15246950,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0
D,Ashton Sautner (15246952),Ashton Sautner,15246952,D/UTIL,2500,VAN@VGK 09/01/2020 09:45PM ET,VAN,1.5
