Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"Willie Snead (WR, BAL)",WR,BAL,8.31,"$4,300 ",#25,#155,#64,0,0,0,0,0,0,3.2,36.94,0.24,8.31,"$4,300 ",1.93
"Irv Smith Jr. (TE, MIN)",TE,MIN,8.23,"$3,100 ",#4,#156,#20,0,0,0,0,0,0,3.23,32.09,0.3,8.23,"$3,100 ",2.65
"Darius Slayton (WR, NYG)",WR,NYG,8.12,"$4,200 ",#20,#157,#65,0,0,0,0.06,0.29,0,2.8,39.7,0.22,8.12,"$4,200 ",1.93
"Jordan Akins (TE, HOU)",TE,HOU,8.1,"$2,900 ",#9,#158,#21,0,0,0,0,0,0,2.93,35.97,0.26,8.1,"$2,900 ",2.79
"Ty Johnson (RB, NYJ)",RB,NYJ,8.02,"$4,700 ",#23,#159,#41,0,0,0,8.33,34.53,0.24,1.76,10.61,0.06,8.02,"$4,700 ",1.71
"Josh Jacobs (RB, LV)",RB,LV),7.85,"$6,300 ",#10,#160,#42,0,0,0,8.52,36.83,0.32,1.09,8.13,0.06,7.85,"$6,300 ",1.25
"Latavius Murray (RB, NO)",RB,NO),7.82,"$5,400 ",#18,#161,#43,0,0,0,9.38,38.33,0.35,1.01,7.07,0.03,7.82,"$5,400 ",1.45
"Golden Tate (WR, NYG)",WR,NYG,7.73,"$3,600 ",#20,#162,#66,0,0,0,0,0,0,3.04,35.58,0.19,7.73,"$3,600 ",2.15
"Henry Ruggs (WR, LV)",WR,LV),7.72,"$4,600 ",#10,#163,#67,0,0,0,0.53,2.83,0.03,2.44,35.64,0.21,7.72,"$4,600 ",1.68
"Tyler Eifert (TE, JAC)",TE,JAC,7.69,"$3,100 ",#30,#163,#22,0,0,0,0,0,0,3.08,29.12,0.28,7.69,"$3,100 ",2.48
"Zach Pascal (WR, IND)",WR,IND,7.67,"$3,300 ",#31,#165,#68,0,0,0,0,0,0,2.66,35.63,0.24,7.67,"$3,300 ",2.32
"Le'Veon Bell (RB, KC)",RB,KC),7.53,"$4,400 ",#7,#166,#44,0,0,0,8.07,32.52,0.22,1.47,10.98,0.07,7.53,"$4,400 ",1.71
"Jeff Wilson (RB, SF)",RB,SF),7.59,"$4,000 ",#6,#167,#45,0,0,0,7.06,29.5,0.2,1.66,13.44,0.09,7.59,"$4,000 ",1.9
"Keelan Cole (WR, JAC)",WR,JAC,7.51,N/A,#30,#168,#69,0,0,0,0,0.02,0,2.97,34.2,0.19,7.51,N/A,N/A
"Cam Sims (WR, WSH)",WR,WSH,7.48,"$3,100 ",#11,#169,#70,0,0,0,0,0,0,2.87,35.32,0.18,7.48,"$3,100 ",2.41
"A.J. Green (WR, CIN)",WR,CIN,7.37,"$3,000 ",#27,#170,#71,0,0,0,0,0,0,2.52,34.82,0.23,7.37,"$3,000 ",2.46
"Trey Burton (TE, IND)",TE,IND,7.3,"$3,100 ",#31,#171,#23,0,0,0,0,0,0,2.71,27.77,0.3,7.3,"$3,100 ",2.35
"Jacob Hollister (TE, SEA)",TE,SEA,7.28,"$3,100 ",#28,#172,#24,0,0,0,0,0,0,2.65,25.82,0.34,7.28,"$3,100 ",2.35
"Emmanuel Sanders (WR, NO)",WR,NO),7.27,"$4,300 ",#18,#173,#72,0,0,0,0,0,0,2.78,33.99,0.18,7.27,"$4,300 ",1.69
"Jalen Reagor (WR, PHI)",WR,PHI,7.3,"$4,400 ",#5,#173,#72,0,0,0,0.55,2.97,0.02,2.63,34.95,0.13,7.3,"$4,400 ",1.66
"K.J. Hamler (WR, DEN)",WR,DEN,7.3,"$3,000 ",#21,#175,#74,0,0,0,1.01,5.28,0.04,2.6,30.01,0.16,7.3,"$3,000 ",2.43
"James White (RB, NE)",RB,NE),7.28,"$4,600 ",#1,#175,#46,0,0,0,2.07,8.4,0.06,3.02,22.85,0.13,7.28,"$4,600 ",1.58
"Drew Sample (TE, CIN)",TE,CIN,7.23,"$3,000 ",#27,#177,#25,0,0,0,0,0,0,2.92,29.35,0.23,7.23,"$3,000 ",2.41
"Laviska Shenault (WR, JAC)",WR,JAC,7.21,"$4,100 ",#30,#178,#75,0,0,0,1.14,5.92,0.05,2.59,28.3,0.15,7.21,"$4,100 ",1.76
"Tyler Higbee (TE, LA)",TE,LA),7.06,"$3,500 ",#12,#179,#26,0,0,0,0,0,0,2.77,30.15,0.21,7.06,"$3,500 ",2.02
"Jakeem Grant (WR, MIA)",WR,MIA,7.12,"$3,400 ",#19,#180,#76,0,0,0,0.02,0.08,0,2.83,31.4,0.2,7.12,"$3,400 ",2.09
"Marquez Valdes-Scantling (WR, GB)",WR,GB),7.03,"$3,900 ",#32,#181,#77,0,0,0,0.25,1.3,0.01,2.14,34.58,0.21,7.03,"$3,900 ",1.8
"Brandon Powell (WR, ATL)",WR,ATL,6.99,"$3,000 ",#14,#182,#78,0,0,0,0,0,0,2.76,32.42,0.17,6.99,"$3,000 ",2.33
"Gerald Everett (TE, LA)",TE,LA),6.61,"$3,300 ",#12,#183,#27,0,0,0,0,0,0,2.67,27.4,0.2,6.61,"$3,300 ",2
"N'Keal Harry (WR, NE)",WR,NE),6.55,"$3,100 ",#1,#184,#79,0,0,0,0,0,0,2.77,28.22,0.16,6.55,"$3,100 ",2.11
"Chad Hansen (WR, HOU)",WR,HOU,6.52,"$3,900 ",#9,#185,#80,0,0,0,0,0,0,2.28,32.39,0.17,6.52,"$3,900 ",1.67
"Darrell Henderson (RB, LA)",RB,LA),6.49,"$4,900 ",#12,#186,#47,0,0,0,6.31,26.09,0.2,1.36,10.35,0.05,6.49,"$4,900 ",1.32
"Ito Smith (RB, ATL)",RB,ATL,6.22,"$4,400 ",#14,#187,#48,0,0,0,7.2,29.68,0.21,1.09,6.89,0.04,6.22,"$4,400 ",1.41
"Dez Bryant (WR, BAL)",WR,BAL,6.16,"$3,000 ",#25,#188,#81,0,0,0,0.06,0.34,0,2.17,26.26,0.22,6.16,"$3,000 ",2.05
"Justin Jackson (RB, LAC)",RB,LAC,6.11,"$4,000 ",#16,#189,#49,0,0,0,7.57,31.48,0.2,0.89,6.39,0.04,6.11,"$4,000 ",1.53
"Chris Conley (WR, JAC)",WR,JAC,6.1,"$3,000 ",#30,#190,#82,0,0,0,0,0,0,2.34,28.71,0.15,6.1,"$3,000 ",2.03
"Quintez Cephus (WR, DET)",WR,DET,6.06,"$3,200 ",#17,#191,#83,0,0,0,0,0,0,2.25,28.87,0.16,6.06,"$3,200 ",1.89
"Cordarrelle Patterson (RB, CHI)",RB,CHI,6.08,"$3,600 ",#29,#192,#50,0,0,0,5.45,24.94,0.18,1.16,10.66,0.06,6.08,"$3,600 ",1.69
"Patrick Laird (RB, MIA)",RB,MIA,5.95,"$4,000 ",#19,#193,#51,0,0,0,6.36,26.4,0.17,1.14,8.33,0.06,5.95,"$4,000 ",1.49
"Carlos Hyde (RB, SEA)",RB,SEA,5.96,"$5,100 ",#28,#194,#52,0,0,0,6.19,24.73,0.21,1.2,6.71,0.07,5.96,"$5,100 ",1.17
"Tony Pollard (RB, DAL)",RB,DAL,5.9,"$5,300 ",#24,#195,#53,0,0,0,6,26.11,0.18,1.16,7.7,0.05,5.9,"$5,300 ",1.11
"Tre'Quan Smith (WR, NO)",WR,NO),5.84,"$3,300 ",#18,#196,#84,0,0,0,0.43,2.52,0.03,1.98,25.43,0.15,5.84,"$3,300 ",1.77
"Demarcus Robinson (WR, KC)",WR,KC),5.81,"$3,800 ",#7,#197,#85,0,0,0,0,0,0,2.05,25.71,0.2,5.81,"$3,800 ",1.53
"Travis Fulgham (WR, PHI)",WR,PHI,5.8,"$4,900 ",#5,#198,#86,0,0,0,0,0,0,2.17,29.59,0.11,5.8,"$4,900 ",1.18
"Jared Cook (TE, NO)",TE,NO),5.78,"$3,800 ",#18,#199,#28,0,0,0,0,0,0,2.12,28.31,0.14,5.78,"$3,800 ",1.52
"Braxton Berrios (WR, NYJ)",WR,NYJ,5.77,"$3,000 ",#23,#200,#87,0,0,0,0.02,0.09,0,2.39,26.06,0.13,5.77,"$3,000 ",1.92
"Mo Alie-Cox (TE, IND)",TE,IND,5.76,"$2,500 ",#31,#201,#29,0,0,0,0,0,0,2.02,24.43,0.22,5.76,"$2,500 ",2.3
"Adrian Peterson (RB, DET)",RB,DET,5.74,"$5,000 ",#17,#202,#54,0,0,0,7.82,31.91,0.23,0.57,4.73,0.03,5.74,"$5,000 ",1.15
"David Moore (WR, SEA)",WR,SEA,5.68,"$3,400 ",#28,#203,#88,0,0,0,0,0,0,1.84,26.14,0.21,5.68,"$3,400 ",1.67
"C.J. Prosise (RB, HOU)",RB,HOU,5.7,"$4,000 ",#9,#204,#55,0,0,0,6.27,25.59,0.16,1.04,8.96,0.05,5.7,"$4,000 ",1.43
"Steven Sims (WR, WSH)",WR,WSH,5.59,"$3,300 ",#11,#205,#89,0,0,0,0.43,2.25,0.02,2.21,22.37,0.14,5.59,"$3,300 ",1.69
"Samaje Perine (RB, CIN)",RB,CIN,5.51,"$4,000 ",#27,#206,#56,0,0,0,6.6,26.69,0.13,1.03,7.5,0.05,5.51,"$4,000 ",1.38
"Donovan Peoples-Jones (WR, CLE)",WR,CLE,5.5,"$3,400 ",#2,#207,#90,0,0,0,0,0,0,2.05,25.65,0.15,5.5,"$3,400 ",1.62
"Kendrick Bourne (WR, SF)",WR,SF),5.46,"$3,700 ",#6,#208,#91,0,0,0,0,0,0,2.04,25.33,0.15,5.46,"$3,700 ",1.48
"James Washington (WR, PIT)",WR,PIT,5.38,"$3,400 ",#22,#209,#92,0,0,0,0,0,0,1.82,27.85,0.13,5.38,"$3,400 ",1.58
"Mohamed Sanu (WR, DET)",WR,DET,5.38,"$3,000 ",#17,#209,#92,0,0,0,0,0,0,2.15,23.38,0.15,5.38,"$3,000 ",1.79
"Christian Blake (WR, ATL)",WR,ATL,5.31,"$3,000 ",#14,#211,#94,0,0,0,0,0,0,2.09,24.67,0.13,5.31,"$3,000 ",1.77
"Darren Fells (TE, HOU)",TE,HOU,5.23,"$2,500 ",#9,#212,#30,0,0,0,0,0,0,1.84,21.96,0.2,5.23,"$2,500 ",2.09
"Mecole Hardman (WR, KC)",WR,KC),5.23,"$3,200 ",#7,#213,#95,0,0,0,0,0,0,1.67,25.55,0.17,5.23,"$3,200 ",1.63
"Cameron Batson (WR, TEN)",WR,TEN,5.22,"$3,000 ",#26,#214,#96,0,0,0,0.53,2.92,0.03,1.93,20.89,0.13,5.22,"$3,000 ",1.74
"Gus Edwards (RB, BAL)",RB,BAL,5.22,"$4,300 ",#25,#215,#57,0,0,0,7.1,32.18,0.19,0.46,3.5,0.02,5.22,"$4,300 ",1.21
"Collin Johnson (WR, JAC)",WR,JAC,5.13,"$3,600 ",#30,#216,#97,0,0,0,0,0,0,2.01,23.46,0.13,5.13,"$3,600 ",1.43
"Trenton Cannon (RB, CAR)",RB,CAR,5.09,"$4,000 ",#8,#217,#58,0,0,0,2.29,9.38,0.07,1.8,14.15,0.09,5.09,"$4,000 ",1.27
"Isaiah Wright (WR, WSH)",WR,WSH,5.02,"$3,000 ",#11,#218,#98,0,0,0,0.45,2.37,0.02,2,19.88,0.12,5.02,"$3,000 ",1.67
"Jalen Guyton (WR, LAC)",WR,LAC,4.96,"$3,200 ",#16,#219,#99,0,0,0,0,0.01,0,1.72,24.13,0.14,4.96,"$3,200 ",1.55
"Will Dissly (TE, SEA)",TE,SEA,4.95,"$2,900 ",#28,#220,#31,0,0,0,0,0,0,1.67,19.12,0.23,4.95,"$2,900 ",1.71
"Jimmy Graham (TE, CHI)",TE,CHI,4.92,"$3,000 ",#29,#221,#32,0,0,0,0,0,0,1.92,19.94,0.17,4.92,"$3,000 ",1.64
"Mack Hollins (WR, MIA)",WR,MIA,4.86,"$3,000 ",#19,#222,#100,0,0,0,0,0,0,1.88,22.11,0.13,4.86,"$3,000 ",1.62
"Cole Kmet (TE, CHI)",TE,CHI,4.85,"$2,900 ",#29,#223,#33,0,0,0,0,0,0,1.88,20.18,0.16,4.85,"$2,900 ",1.67
"Jalen Richard (RB, LV)",RB,LV),4.93,"$4,000 ",#10,#224,#59,0,0,0,5.33,23.22,0.14,0.85,7.19,0.05,4.93,"$4,000 ",1.23
"Isaiah McKenzie (WR, BUF)",WR,BUF,4.9,"$3,000 ",#3,#224,#101,0,0,0,0.63,3.29,0.03,1.76,19.19,0.13,4.9,"$3,000 ",1.63
"Boston Scott (RB, PHI)",RB,PHI,4.84,"$4,900 ",#5,#226,#60,0,0,0,3.47,13.95,0.09,1.54,11.95,0.04,4.84,"$4,900 ",0.99
"Sony Michel (RB, NE)",RB,NE),4.79,"$4,300 ",#1,#226,#60,0,0,0,6.81,28.03,0.18,0.47,3.32,0.02,4.79,"$4,300 ",1.11
"Jordan Wilkins (RB, IND)",RB,IND,4.78,"$4,000 ",#31,#228,#62,0,0,0,5.84,24.9,0.22,0.5,3.75,0.02,4.78,"$4,000 ",1.2
"Alshon Jeffery (WR, PHI)",WR,PHI,4.73,"$3,000 ",#5,#229,#102,0,0,0,0,0,0,1.78,22.96,0.11,4.73,"$3,000 ",1.58
"Dawson Knox (TE, BUF)",TE,BUF,4.68,"$2,800 ",#3,#230,#34,0,0,0,0,0,0,1.72,19.04,0.18,4.68,"$2,800 ",1.67
"Andy Isabella (WR, ARI)",WR,ARI,4.67,"$3,000 ",#13,#231,#103,0,0,0,0,0,0,1.66,22.52,0.13,4.67,"$3,000 ",1.56
"Ian Thomas (TE, CAR)",TE,CAR,4.62,"$2,500 ",#8,#232,#35,0,0,0,0,0,0,1.81,19.24,0.15,4.62,"$2,500 ",1.85
"Jeff Smith (WR, NYJ)",WR,NYJ,4.57,"$3,000 ",#23,#233,#104,0,0,0,0,0,0,1.98,20.2,0.1,4.57,"$3,000 ",1.52
"David Njoku (TE, CLE)",TE,CLE,4.49,"$2,500 ",#2,#234,#36,0,0,0,0,0,0,1.68,18.57,0.16,4.49,"$2,500 ",1.8
"Brandon Zylstra (WR, CAR)",WR,CAR,4.48,"$3,000 ",#8,#235,#105,0,0,0,0,0,0,1.68,21.71,0.11,4.48,"$3,000 ",1.49
"Ryan Griffin (TE, NYJ)",TE,NYJ,4.45,"$2,500 ",#23,#236,#37,0,0,0,0,0,0,1.88,18.6,0.12,4.45,"$2,500 ",1.78
"Mark Ingram (RB, BAL)",RB,BAL,4.38,"$4,700 ",#25,#237,#63,0,0,0,4.38,21.51,0.18,0.55,4.41,0.03,4.38,"$4,700 ",0.93
"Alfred Morris (RB, NYG)",RB,NYG,4.37,"$4,000 ",#20,#238,#64,0,0,0,5.25,21.2,0.12,0.75,5.82,0.04,4.37,"$4,000 ",1.09
"Brian Hill (RB, ATL)",RB,ATL,4.3,"$4,200 ",#14,#239,#65,0,0,0,5.38,23.08,0.12,0.67,4.66,0.03,4.3,"$4,200 ",1.02
"Malcolm Brown (RB, LA)",RB,LA),4.25,"$4,000 ",#12,#240,#66,0,0,0,3.48,14.25,0.11,1.08,7.97,0.05,4.25,"$4,000 ",1.06
"Jack Doyle (TE, IND)",TE,IND,4.24,"$2,500 ",#31,#241,#38,0,0,0,0,0,0,1.61,16.93,0.16,4.24,"$2,500 ",1.7
"Greg Ward (WR, PHI)",WR,PHI,4.02,"$3,100 ",#5,#242,#106,0,0,0,0.03,0.16,0,1.72,18.26,0.08,4.02,"$3,100 ",1.3
"Alex Erickson (WR, CIN)",WR,CIN,4.07,"$3,000 ",#27,#243,#107,0,0,0,0.49,2.73,0.02,1.42,18.03,0.09,4.07,"$3,000 ",1.36
"Dan Arnold (TE, ARI)",TE,ARI,3.92,"$3,600 ",#13,#244,#39,0,0,0,0,0,0,1.41,17.52,0.13,3.92,"$3,600 ",1.09
"Dion Lewis (RB, NYG)",RB,NYG,3.79,"$4,000 ",#20,#245,#67,0,0,0,0.81,3.41,0.02,1.65,12.07,0.08,3.79,"$4,000 ",0.95
"Equanimeous St. Brown (WR, GB)",WR,GB),3.79,"$3,000 ",#32,#245,#108,0,0,0,0,0,0,1.35,17.94,0.11,3.79,"$3,000 ",1.26
"Kerryon Johnson (RB, DET)",RB,DET,3.79,"$4,200 ",#17,#247,#68,0,0,0,3.71,15.97,0.1,0.75,6.37,0.04,3.79,"$4,200 ",0.9
"Kalif Raymond (WR, TEN)",WR,TEN,3.72,"$3,000 ",#26,#248,#109,0,0,0,0.03,0.15,0,1.37,17.77,0.1,3.72,"$3,000 ",1.24
"Chad Beebe (WR, MIN)",WR,MIN,3.68,"$3,000 ",#4,#249,#110,0,0,0,0,0,0,1.41,17,0.1,3.68,"$3,000 ",1.23
"Nick Vannett (TE, DEN)",TE,DEN,3.58,"$2,500 ",#21,#250,#40,0,0,0,0,0,0,1.48,14.47,0.11,3.58,"$2,500 ",1.43
"James O'Shaughnessy (TE, JAC)",TE,JAC,3.56,"$2,500 ",#30,#251,#41,0,0,0,0,0,0,1.47,13.76,0.12,3.56,"$2,500 ",1.42
"Cedrick Wilson (WR, DAL)",WR,DAL,3.57,"$3,300 ",#24,#252,#111,0,0,0,0.4,2.01,0.02,1.32,14.16,0.09,3.57,"$3,300 ",1.08
"Chris Herndon (TE, NYJ)",TE,NYJ,3.38,"$2,500 ",#23,#253,#42,0,0,0,0,0,0,1.39,14.07,0.1,3.38,"$2,500 ",1.35
"Cameron Brate (TE, TB)",TE,TB),3.33,"$3,000 ",#15,#254,#43,0,0,0,0,0,0,1.33,11.74,0.14,3.33,"$3,000 ",1.11
"Ameer Abdullah (RB, MIN)",RB,MIN,3.29,"$4,000 ",#4,#255,#69,0,0,0,3.43,13.24,0.07,0.8,5.58,0.04,3.29,"$4,000 ",0.82
"Lynn Bowden Jr. (WR, MIA)",WR,MIA,3.19,"$3,000 ",#19,#256,#112,0,0,0,0.64,3.52,0.03,1.04,12.07,0.07,3.19,"$3,000 ",1.06
"Bryan Edwards (WR, LV)",WR,LV),3.17,"$3,000 ",#10,#257,#113,0,0,0,0,0,0,1.12,15.16,0.09,3.17,"$3,000 ",1.06
"Jamal Agnew (WR, DET)",WR,DET,3.2,"$3,000 ",#17,#258,#114,0,0,0,0.89,4.45,0.04,1,11.5,0.07,3.2,"$3,000 ",1.07
"Devin Duvernay (WR, BAL)",WR,BAL,3.15,"$3,000 ",#25,#258,#114,0,0,0,0.06,0.34,0,1.17,14.16,0.09,3.15,"$3,000 ",1.05
"Anthony Firkser (TE, TEN)",TE,TEN,3.11,"$3,600 ",#26,#260,#44,0,0,0,0,0,0,1.16,12.41,0.12,3.11,"$3,600 ",0.86
"Van Jefferson (WR, LA)",WR,LA),3.1,"$3,000 ",#12,#261,#116,0,0,0,0,0,0,1.18,15.1,0.07,3.1,"$3,000 ",1.03
"Adam Shaheen (TE, MIA)",TE,MIA,3,"$2,500 ",#19,#262,#45,0,0,0,0,0,0,1.18,11.72,0.11,3,"$2,500 ",1.2
"Benny Snell Jr. (RB, PIT)",RB,PIT,3.02,"$5,700 ",#22,#263,#70,0,0,0,4.16,16.77,0.11,0.37,2.9,0.01,3.02,"$5,700 ",0.53
"Jeremy McNichols (RB, TEN)",RB,TEN,2.97,"$4,000 ",#26,#264,#71,0,0,0,2.39,10.17,0.08,0.78,5.25,0.03,2.97,"$4,000 ",0.74
"Scotty Miller (WR, TB)",WR,TB),2.94,"$3,000 ",#15,#265,#117,0,0,0,0.07,0.34,0,1.05,13.29,0.09,2.94,"$3,000 ",0.98
"Freddie Swain (WR, SEA)",WR,SEA,2.91,"$3,000 ",#28,#266,#118,0,0,0,0,0,0,1.06,12.74,0.1,2.91,"$3,000 ",0.97
"Durham Smythe (TE, MIA)",TE,MIA,2.85,"$2,500 ",#19,#267,#46,0,0,0,0,0,0,1.15,11.06,0.1,2.85,"$2,500 ",1.14
"Jaeden Graham (TE, ATL)",TE,ATL,2.85,"$2,500 ",#14,#267,#46,0,0,0,0,0,0,1.09,11.68,0.1,2.85,"$2,500 ",1.14
"Rodney Smith (RB, CAR)",RB,CAR,2.8,"$4,000 ",#8,#269,#72,0,0,0,2.08,8.56,0.06,0.77,5.93,0.04,2.8,"$4,000 ",0.7
"Jordan Howard (RB, PHI)",RB,PHI,2.75,"$4,000 ",#5,#270,#73,0,0,0,3.94,15.75,0.12,0.24,1.78,0.01,2.75,"$4,000 ",0.69
"Kahale Warring (TE, HOU)",TE,HOU,2.73,"$2,500 ",#9,#271,#48,0,0,0,0,0,0,1.01,11.25,0.1,2.73,"$2,500 ",1.09
"Adam Trautman (TE, NO)",TE,NO),2.68,"$2,500 ",#18,#272,#49,0,0,0,0,0,0,1.07,10.83,0.09,2.68,"$2,500 ",1.07
"Kaden Smith (TE, NYG)",TE,NYG,2.64,"$2,500 ",#20,#273,#50,0,0,0,0,0,0,1.07,9.87,0.1,2.64,"$2,500 ",1.06
"Geoff Swaim (TE, TEN)",TE,TEN,2.52,"$2,500 ",#26,#274,#51,0,0,0,0,0,0,1,9.34,0.1,2.52,"$2,500 ",1.01
"Javon Wims (WR, CHI)",WR,CHI,2.53,"$3,000 ",#29,#274,#119,0,0,0,0,0,0,1.02,11.13,0.07,2.53,"$3,000 ",0.84
"Keith Kirkwood (WR, CAR)",WR,CAR,2.52,"$3,000 ",#8,#276,#120,0,0,0,0,0,0,0.94,12.38,0.06,2.52,"$3,000 ",0.84
"Gunner Olszewski (WR, NE)",WR,NE),2.53,"$3,200 ",#1,#276,#120,0,0,0,0.6,2.77,0.03,0.9,9.64,0.04,2.53,"$3,200 ",0.79
"Devin Asiasi (TE, NE)",TE,NE),2.46,"$2,500 ",#1,#278,#52,0,0,0,0,0,0,1.03,10.2,0.07,2.46,"$2,500 ",0.98
"Dare Ogunbowale (RB, JAC)",RB,JAC,2.34,"$4,000 ",#30,#279,#74,0,0,0,1.13,4.63,0.03,0.87,6.07,0.04,2.34,"$4,000 ",0.59
"Noah Brown (WR, DAL)",WR,DAL,2.34,"$3,000 ",#24,#279,#122,0,0,0,0,0,0,0.97,10.26,0.06,2.34,"$3,000 ",0.78
"Darrel Williams (RB, KC)",RB,KC),2.33,"$4,000 ",#7,#279,#74,0,0,0,1.35,5.61,0.04,0.69,5.44,0.05,2.33,"$4,000 ",0.58
"Kyle Juszczyk (RB, SF)",RB,SF),2.31,"$4,000 ",#6,#282,#76,0,0,0,0.97,4.06,0.03,0.74,7.59,0.04,2.31,"$4,000 ",0.58
"Kalen Ballage (RB, LAC)",RB,LAC,2.28,"$4,000 ",#16,#283,#77,0,0,0,2.76,10.92,0.07,0.4,2.59,0.02,2.28,"$4,000 ",0.57
"Stephen Anderson (TE, LAC)",TE,LAC,2.28,"$2,500 ",#16,#283,#53,0,0,0,0,0,0,0.84,9.06,0.09,2.28,"$2,500 ",0.91
"Anthony McFarland Jr. (RB, PIT)",RB,PIT,2.28,"$4,400 ",#22,#285,#78,0,0,0,2.69,11.19,0.06,0.39,3.09,0.02,2.28,"$4,400 ",0.52
"KeeSean Johnson (WR, ARI)",WR,ARI,2.27,"$3,000 ",#13,#286,#123,0,0,0,0,0,0,0.89,10.38,0.06,2.27,"$3,000 ",0.76
"Pharoh Cooper (WR, CAR)",WR,CAR,2.26,"$3,000 ",#8,#287,#124,0,0,0,0,0,0,0.9,10.23,0.06,2.26,"$3,000 ",0.75
"Richie James (WR, SF)",WR,SF),2.22,"$3,400 ",#6,#288,#125,0,0,0,0.11,0.56,0.01,0.75,10.69,0.05,2.22,"$3,400 ",0.65
"John Hightower (WR, PHI)",WR,PHI,2.2,"$3,000 ",#5,#289,#126,0,0,0,0,0,0,0.84,11.32,0.04,2.2,"$3,000 ",0.73
"Ray-Ray McCloud (WR, PIT)",WR,PIT,2.05,N/A,#22,#290,#127,0,0,0,0.2,1.15,0.01,0.78,8.87,0.04,2.05,N/A,N/A
"Ashton Dulin (WR, IND)",WR,IND,2.01,"$3,000 ",#31,#291,#128,0,0,0,0,0,0,0.74,9.2,0.06,2.01,"$3,000 ",0.67
"Ross Dwelley (TE, SF)",TE,SF),1.96,"$2,500 ",#6,#292,#54,0,0,0,0,0,0,0.77,7.84,0.07,1.96,"$2,500 ",0.78
"K.J. Hill (WR, LAC)",WR,LAC,1.93,"$3,000 ",#16,#293,#129,0,0,0,0,0,0,0.74,8.96,0.05,1.93,"$3,000 ",0.64
"Zay Jones (WR, LV)",WR,LV),1.86,"$3,000 ",#10,#294,#130,0,0,0,0,0,0,0.68,7.61,0.07,1.86,"$3,000 ",0.62
"Antonio Callaway (WR, MIA)",WR,MIA,1.74,"$3,000 ",#19,#295,#131,0,0,0,0,0,0,0.67,7.84,0.05,1.74,"$3,000 ",0.58
"Donald Parham Jr. (TE, LAC)",TE,LAC,1.7,"$2,500 ",#16,#296,#55,0,0,0,0,0,0,0.62,6.57,0.07,1.7,"$2,500 ",0.68
"Chris Manhertz (TE, CAR)",TE,CAR,1.65,"$2,500 ",#8,#297,#56,0,0,0,0,0,0,0.62,7.28,0.05,1.65,"$2,500 ",0.66
"C.J. Ham (RB, MIN)",RB,MIN,1.63,"$4,000 ",#4,#298,#79,0,0,0,0.32,1.25,0.01,0.7,5.12,0.04,1.63,"$4,000 ",0.41
"Tevin Coleman (RB, SF)",RB,SF),1.6,"$4,900 ",#6,#299,#80,0,0,0,1.32,5.64,0.04,0.35,3.25,0.02,1.6,"$4,900 ",0.33
"Theo Riddick (RB, LV)",RB,LV),1.59,"$4,000 ",#10,#300,#81,0,0,0,1.38,5.43,0.04,0.4,2.82,0.02,1.59,"$4,000 ",0.4
"Tyrie Cleveland (WR, DEN)",WR,DEN,1.46,"$3,000 ",#21,#301,#132,0,0,0,0,0,0,0.61,6.76,0.03,1.46,"$3,000 ",0.49
"Marcedes Lewis (TE, GB)",TE,GB),1.43,"$2,500 ",#32,#302,#57,0,0,0,0,0,0,0.51,5.64,0.06,1.43,"$2,500 ",0.57
"Mason Schreck (TE, CIN)",TE,CIN,1.42,"$2,500 ",#27,#303,#58,0,0,0,0,0,0,0.54,5.75,0.05,1.42,"$2,500 ",0.57
"Jason Witten (TE, LV)",TE,LV),1.4,"$2,500 ",#10,#304,#59,0,0,0,0,0,0,0.63,5.29,0.04,1.4,"$2,500 ",0.56
"Alex Armah (RB, CAR)",RB,CAR,1.36,"$4,000 ",#8,#305,#82,0,0,0,0.31,1.25,0.01,0.57,4.27,0.03,1.36,"$4,000 ",0.34
"Tyron Johnson (WR, LAC)",WR,LAC,1.37,"$3,000 ",#16,#305,#133,0,0,0,0,0,0,0.49,6.54,0.04,1.37,"$3,000 ",0.46
"DeeJay Dallas (RB, SEA)",RB,SEA,1.34,"$4,000 ",#28,#307,#83,0,0,0,0.6,2.41,0.02,0.47,3.24,0.03,1.34,"$4,000 ",0.34
"Malik Taylor (WR, GB)",WR,GB),1.32,"$3,000 ",#32,#308,#134,0,0,0,0,0,0,0.5,5.92,0.04,1.32,"$3,000 ",0.44
"Dalton Keene (TE, NE)",TE,NE),1.3,"$2,500 ",#1,#309,#60,0,0,0,0,0,0,0.53,5.27,0.04,1.3,"$2,500 ",0.52
"Elijhaa Penny (RB, NYG)",RB,NYG,1.29,"$4,000 ",#20,#310,#84,0,0,0,0.67,2.77,0.02,0.44,3.3,0.02,1.29,"$4,000 ",0.32
"Tyler Johnson (WR, TB)",WR,TB),1.3,"$3,000 ",#15,#310,#135,0,0,0,0,0,0,0.51,5.62,0.04,1.3,"$3,000 ",0.43
"Elijah McGuire (RB, MIA)",RB,MIA,1.3,N/A,#19,#310,#84,0,0,0,1.34,5.48,0.04,0.26,2.05,0.01,1.3,N/A,N/A
"Jesse James (TE, DET)",TE,DET,1.28,"$2,500 ",#17,#313,#61,0,0,0,0,0,0,0.48,5.62,0.04,1.28,"$2,500 ",0.51
