Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"Cam Newton (QB, NE)",QB,NE),17.48,"$5,900 ",#1,#36,#18,191.27,0.97,0.81,8.89,41.67,0.45,0,0,0,17.48,"$5,900 ",2.96
"Tyler Lockett (WR, SEA)",WR,SEA,16.43,"$7,200 ",#28,#37,#10,0,0,0,0,0,0,5.87,68.08,0.63,16.43,"$7,200 ",2.28
"Mitchell Trubisky (QB, CHI)",QB,CHI,17.3,"$5,600 ",#29,#38,#19,237.15,1.52,0.79,3.89,17.42,0.15,0,0,0,17.3,"$5,600 ",3.09
"Justin Jefferson (WR, MIN)",WR,MIN,16.18,"$7,400 ",#4,#39,#11,0,0,0,0.36,1.83,0.01,5.61,78.68,0.41,16.18,"$7,400 ",2.19
"Matt Ryan (QB, ATL)",QB,ATL,16.89,"$5,700 ",#14,#40,#20,264.94,1.58,0.63,1.12,4.04,0.04,0,0,0,16.89,"$5,700 ",2.96
"Kirk Cousins (QB, MIN)",QB,MIN,16.97,"$6,200 ",#4,#41,#21,254.98,1.64,0.67,1.45,5.65,0.07,0,0,0,16.97,"$6,200 ",2.74
"Tua Tagovailoa (QB, MIA)",QB,MIA,16.92,"$5,400 ",#19,#42,#22,234.94,1.55,0.7,2.57,11.16,0.16,0,0,0,16.92,"$5,400 ",3.13
"A.J. Brown (WR, TEN)",WR,TEN,16.1,"$7,300 ",#26,#43,#12,0,0,0,0,0,0,5.16,82.12,0.46,16.1,"$7,300 ",2.21
"Daniel Jones (QB, NYG)",QB,NYG,17.15,"$5,500 ",#20,#44,#23,220.47,1.46,0.76,4.87,23.09,0.21,0,0,0,17.15,"$5,500 ",3.12
"Allen Robinson (WR, CHI)",WR,CHI,15.75,"$6,800 ",#29,#45,#13,0,0,0,0,0,0,6.21,69.01,0.44,15.75,"$6,800 ",2.32
"Robby Anderson (WR, CAR)",WR,CAR,15.78,"$6,200 ",#8,#46,#14,0,0,0,0,0,0,5.62,75.56,0.44,15.78,"$6,200 ",2.55
"Andy Dalton (QB, DAL)",QB,DAL,16.66,"$5,500 ",#24,#47,#24,233.72,1.51,0.82,3.12,11.81,0.16,0,0,0,16.66,"$5,500 ",3.03
"Brandon Allen (QB, CIN)",QB,CIN,16.56,"$4,900 ",#27,#48,#25,244.9,1.42,0.76,2.84,11.96,0.12,0,0,0,16.56,"$4,900 ",3.38
"Ezekiel Elliott (RB, DAL)",RB,DAL,15.91,"$6,600 ",#24,#49,#9,0,0,0,18.27,82.01,0.53,2.46,16.94,0.11,15.91,"$6,600 ",2.41
"Darren Waller (TE, LV)",TE,LV),15.52,"$6,800 ",#10,#50,#2,0,0,0,0,0,0,6.18,63.61,0.5,15.52,"$6,800 ",2.28
"Mike Glennon (QB, JAC)",QB,JAC,16.7,"$5,100 ",#30,#51,#26,252.26,1.59,1.13,2.14,8.72,0.1,0,0,0,16.7,"$5,100 ",3.27
"Marvin Jones (WR, DET)",WR,DET,15.08,"$5,800 ",#17,#52,#15,0,0,0,0,0,0,5.3,65.81,0.53,15.08,"$5,800 ",2.6
"Alex Smith (QB, WSH)",QB,WSH,15.67,"$5,200 ",#11,#53,#27,227.37,1.38,0.51,2.44,11.01,0.08,0,0,0,15.67,"$5,200 ",3.01
"James Conner (RB, PIT)",RB,PIT,15.08,"$6,300 ",#22,#54,#10,0,0,0,16.03,70.95,0.53,2.37,18.6,0.1,15.08,"$6,300 ",2.39
"Nick Mullens (QB, SF)",QB,SF),15.88,"$5,100 ",#6,#55,#28,252.76,1.48,0.83,0.91,3.89,0.05,0,0,0,15.88,"$5,100 ",3.11
"Robert Woods (WR, LA)",WR,LA),14.96,"$6,700 ",#12,#56,#16,0,0,0,0.79,4.66,0.05,5.75,66.03,0.31,14.96,"$6,700 ",2.23
"Diontae Johnson (WR, PIT)",WR,PIT,15.03,"$6,700 ",#22,#56,#16,0,0,0,0.04,0.25,0,5.89,68.06,0.4,15.03,"$6,700 ",2.24
"David Montgomery (RB, CHI)",RB,CHI,14.96,"$6,500 ",#29,#58,#11,0,0,0,15.91,67.92,0.47,2.63,20.33,0.12,14.96,"$6,500 ",2.3
"Raheem Mostert (RB, SF)",RB,SF),14.97,"$6,200 ",#6,#59,#12,0,0,0,15.64,75.59,0.56,1.91,16.83,0.09,14.97,"$6,200 ",2.41
"Michael Thomas (WR, NO)",WR,NO),14.89,"$7,100 ",#18,#59,#18,0,0,0,0,0,0,6.04,67.45,0.35,14.89,"$7,100 ",2.1
"Brandin Cooks (WR, HOU)",WR,HOU,14.77,"$6,100 ",#9,#61,#19,0,0,0,0.31,1.61,0.01,4.96,72.34,0.39,14.77,"$6,100 ",2.42
"Cooper Kupp (WR, LA)",WR,LA),14.73,"$6,500 ",#12,#62,#20,0,0,0,0.02,0.1,0,5.77,67.72,0.37,14.73,"$6,500 ",2.27
"Chris Godwin (WR, TB)",WR,TB),14.54,"$6,300 ",#15,#63,#21,0,0,0,0,0,0,5.27,64.84,0.47,14.54,"$6,300 ",2.31
"Baker Mayfield (QB, CLE)",QB,CLE,15.3,"$5,700 ",#2,#64,#29,225.61,1.38,0.86,2.31,10.15,0.11,0,0,0,15.3,"$5,700 ",2.68
"Jalen Hurts (QB, PHI)",QB,PHI,15.57,"$5,100 ",#5,#65,#30,235.2,1.03,1.04,4.62,20.11,0.21,0,0,0,15.57,"$5,100 ",3.05
"Cole Beasley (WR, BUF)",WR,BUF,14,"$5,000 ",#3,#66,#22,0,0,0,0,0,0,5.1,64.9,0.4,14,"$5,000 ",2.8
"Deebo Samuel (WR, SF)",WR,SF),13.96,"$6,400 ",#6,#67,#23,0,0,0,0.89,4.5,0.04,4.86,64.55,0.33,13.96,"$6,400 ",2.18
"Drew Lock (QB, DEN)",QB,DEN,14.75,"$5,100 ",#21,#68,#31,221.35,1.2,0.79,2.82,11.8,0.13,0,0,0,14.75,"$5,100 ",2.89
"Jarvis Landry (WR, CLE)",WR,CLE,13.79,"$6,300 ",#2,#69,#24,0,0,0,0.13,0.71,0,5.29,64.44,0.33,13.79,"$6,300 ",2.19
"Duke Johnson (RB, HOU)",RB,HOU,13.83,"$4,800 ",#9,#70,#13,0,0,0,11.29,46.67,0.29,3.5,30.44,0.16,13.83,"$4,800 ",2.88
"Tee Higgins (WR, CIN)",WR,CIN,13.69,"$4,800 ",#27,#71,#25,0,0,0,0.21,1.16,0.01,4.74,66.81,0.35,13.69,"$4,800 ",2.85
"Brandon Aiyuk (WR, SF)",WR,SF),13.66,"$5,400 ",#6,#72,#26,0,0,0,0.61,3.06,0.03,4.79,63.04,0.35,13.66,"$5,400 ",2.53
"DeAndre Washington (RB, MIA)",RB,MIA,13.59,"$4,000 ",#19,#73,#14,0,0,0,13.97,58.32,0.39,2.75,18.55,0.14,13.59,"$4,000 ",3.4
"DeVante Parker (WR, MIA)",WR,MIA,13.54,"$6,100 ",#19,#74,#27,0,0,0,0,0,0,4.83,64.4,0.38,13.54,"$6,100 ",2.22
"Giovani Bernard (RB, CIN)",RB,CIN,13.61,"$5,000 ",#27,#74,#15,0,0,0,14.74,59.98,0.33,2.88,21.55,0.11,13.61,"$5,000 ",2.72
"Corey Davis (WR, TEN)",WR,TEN,13.48,"$5,700 ",#26,#76,#28,0,0,0,0,0,0,4.85,64.87,0.36,13.48,"$5,700 ",2.36
"Ronald Jones (RB, TB)",RB,TB),13.62,"$6,100 ",#15,#76,#16,0,0,0,15.11,67.36,0.67,1.51,10.3,0.08,13.62,"$6,100 ",2.23
"Kenyan Drake (RB, ARI)",RB,ARI,13.44,"$5,500 ",#13,#78,#17,0,0,0,14.3,64.74,0.48,1.94,16.36,0.09,13.44,"$5,500 ",2.44
"D.J. Chark (WR, JAC)",WR,JAC,13.38,"$5,300 ",#30,#79,#29,0,0,0,0,0,0,5.2,60.22,0.36,13.38,"$5,300 ",2.52
"Nick Chubb (RB, CLE)",RB,CLE,13.41,"$7,600 ",#2,#80,#18,0,0,0,15.71,78.9,0.56,1.09,8.08,0.05,13.41,"$7,600 ",1.76
"Curtis Samuel (WR, CAR)",WR,CAR,13.21,"$5,200 ",#8,#81,#30,0,0,0,1.89,11.46,0.1,4.35,50.1,0.35,13.21,"$5,200 ",2.54
"Wayne Gallman (RB, NYG)",RB,NYG,13.23,"$5,700 ",#20,#82,#19,0,0,0,14.98,65.4,0.48,1.95,13.61,0.09,13.23,"$5,700 ",2.32
"Keke Coutee (WR, HOU)",WR,HOU,12.91,"$5,000 ",#9,#83,#31,0,0,0,0.26,1.33,0.01,4.63,61.4,0.33,12.91,"$5,000 ",2.58
"JuJu Smith-Schuster (WR, PIT)",WR,PIT,12.66,"$6,100 ",#22,#84,#32,0,0,0,0,0,0,5.19,54.48,0.34,12.66,"$6,100 ",2.08
"Mike Evans (WR, TB)",WR,TB),12.45,"$6,600 ",#15,#85,#33,0,0,0,0,0,0,4.23,55.15,0.45,12.45,"$6,600 ",1.89
"Tyler Boyd (WR, CIN)",WR,CIN,12.46,"$4,900 ",#27,#85,#33,0,0,0,0.19,1.07,0.01,4.65,57.96,0.31,12.46,"$4,900 ",2.54
"Antonio Brown (WR, TB)",WR,TB),12.4,"$5,500 ",#15,#87,#35,0,0,0,0.45,2.2,0.02,4.32,50.03,0.46,12.4,"$5,500 ",2.25
"Amari Cooper (WR, DAL)",WR,DAL,12.37,"$6,500 ",#24,#88,#36,0,0,0,0.16,0.79,0.01,4.8,54.01,0.34,12.37,"$6,500 ",1.9
"Mark Andrews (TE, BAL)",TE,BAL,12.38,"$5,300 ",#25,#89,#3,0,0,0,0,0,0,4.33,50.79,0.5,12.38,"$5,300 ",2.34
"Sam Darnold (QB, NYJ)",QB,NYJ,13.39,"$5,100 ",#23,#90,#32,207.62,1.07,0.84,2.5,10.8,0.12,0,0,0,13.39,"$5,100 ",2.63
"Jamison Crowder (WR, NYJ)",WR,NYJ,12.02,"$5,400 ",#23,#91,#37,0,0,0,0,0,0,5.05,53.56,0.27,12.02,"$5,400 ",2.23
